Datum,Abflugort,Zielort,Distanz (Meilen),Flugdauer,Treibstoffverbrauch (Gallons),Emissionen (Metrische Tonnen)
28.11.2024,"Daniel Oduber Quiros International Airport (LIR) Liberia,","Fort Lauderdale Executive Airport (FXE) Florida",1100,"2 hours 30 minutes",830,8
28.11.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Daniel Oduber Quiros International Airport (LIR) Liberia,",1100,"2 hours 42 minutes",890,8
28.11.2024,"The Francis Gabreski Airport (FOK) West Hampton Beach, New York","Fort Lauderdale Executive Airport Fort Lauderdal Florida",1100,"2 hours 45 minutes",910,8
29.11.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Westchester County Airport (HPN) White Plains, New York",1100,"2 hours 39 minutes",880,8
30.11.2024,"Westchester County Airport (HPN) White Plains, New York","Durango La Plata County Airport (DRO) Colorado",1800,"3 hours 41 minutes",1200,11
30.11.2024,"Durango La Plata County Airport (DRO) Colorado","San Jose International Airport (SJC) California",780,"1 hour 53 minutes",620,6
01.12.2024,"San Jose International Airport (SJC) California","Washington Dulles International Airport (IAD) Virginia",2400,"4 hours 34 minutes",1500,14
04.12.2024,"Washington Dulles International Airport (IAD) Virginia","Fort Lauderdale Executive Airport (FXE) Florida",900,"1 hour 44 minutes",570,5
21.12.2024,"Westchester County Airport (HPN) White Plains, New York","Salt Lake City International Airport (SLC) Utah",2000,"4 hours 6 minutes",1400,12
21.12.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Westchester County Airport (HPN) White Plains, New York",1100,"2 hours 24 minutes",790,7
22.12.2024,"Salt Lake City International Airport (SLC) Utah","Cherry Capital Airport (TVC) Traverse City, Michigan",1400,"3 hours 7 minutes",1000,9
22.12.2024,"Cherry Capital Airport (TVC) Traverse City, Michigan","Fort Lauderdale Executive Airport (FXE) Florida",1300,"2 hours 35 minutes",850,8
23.12.2024,"Charleston Executive Airport (JZI) South Carolina","Fort Lauderdale Executive Airport (FXE) Florida",450,"1 hour 9 minutes",380,4
23.12.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Charleston Executive Airport (JZI) South Carolina",450,"59 minutes",330,3
26.12.2024,"Westchester County Airport (HPN) White Plains, New York","Austin International Airport (AUS) Texas",1500,"3 hours 47 minutes",1200,11
26.12.2024,"Columbia County Airport (181) Hudson, New York","Fort Lauderdale Executive Airport (FXE) Florida",1200,"2 hours 23 minutes",790,7
26.12.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Columbia County Airport (181) Hudson, New York",1200,"2 hours 27 minutes",810,7
26.12.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Westchester County Airport (HPN) White Plains, New York",1100,"2 hours 16 minutes",750,7
27.12.2024,"Austin International Airport (AUS) Texas","Oakland County International Airport (PTK) Michigan",1200,"2 hours 23 minutes",790,7
27.12.2024,"Oakland County International Airport (PTK) Michigan","Philadelphia International Airport (PHL) Pennsylvania",470,"1 hour 13 minutes",400,4
28.12.2024,"Philadelphia International Airport (PHL) Pennsylvania","Naples Airport (APF) Florida",1000,"3 hours 26 minutes",1100,10
28.12.2024,"Naples Airport (APF) Florida","Eastern lowa Airport (CID) CEDAR RAPIDS lowa",1200,"2 hours 38 minutes",870,8
29.12.2024,"San Jose International Airport (SJC) California","Ithaca Tompkins Regional Airport (ITH) New York",2400,"5 hours 12 minutes",1700,16
29.12.2024,"Eastern lowa Airport (CID) CEDAR RAPIDS lowa","San Diego International Airport (SAN) California",1500,"3 hours 5 minutes",1000,9
29.12.2024,"San Diego International Airport (SAN) California","San Jose International Airport (SJC) California",420,"1 hour 30 minutes",500,5
30.12.2024,"Ithaca Tompkins Regional Airport (ITH) New York","Fort Lauderdale Executive Airport (FXE) Florida",1100,"2 hours 15 minutes",740,7
