Datum,Abflugort,Zielort,Distanz (Meilen),Flugdauer,Treibstoffverbrauch (Gallons),Emissionen (Metrische Tonnen)
17.03.2024,"Monterey Regional Airport (MRY) California","Aspen County Airport (ASE) Colorado",840,"2 hours 9 minutes",710,7
19.03.2024,"Aspen County Airport (ASE) Colorado","Fort Lauderdale Executive Airport (FXE) Florida",1800,"4 hours 20 minutes",1400,13
25.03.2024,"Du Page Airport (DPA) West Chicago","Fort Lauderdale Executive Airport (FXE) Florida",1200,"2 hours 57 minutes",970,9
25.03.2024,"Naples Airport (APF) Florida","Du Page Airport (DPA) West Chicago",1200,"2 hours 22 minutes",780,7
25.03.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Naples Airport (APF) Florida",100,"1 hour 39 minutes",550,5
01.04.2024,"Palm Beach International Airport (PBI) West Palm Beach, Florida","San Antonio International Airport (SAT) Texas",1100,"3 hours 7 minutes",1000,9
01.04.2024,"San Antonio International Airport (SAT) Texas","San Angelo Regional Airport (SJT) Texas",180,"56 minutes",310,3
01.04.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Palm Beach International Airport (PBI) West Palm Beach, Florida",40,"57 minutes",310,3
02.04.2024,"San Angelo Regional Airport (SJT) Texas","Raleigh Durham International Airport (RDU) North Carolina",1300,"2 hours 50 minutes",940,9
02.04.2024,"Brunswick Golden Isles Airport (BQK) Georgia","Owen Roberts International Airport (GCM) Georgetown,",830,"2 hours 17 minutes",750,7
02.04.2024,"Raleigh Durham International Airport (RDU) North Carolina","Brunswick Golden Isles Airport (BQK) Georgia",360,"1 hour 3 minutes",350,3
02.04.2024,"Owen Roberts International Airport (GCM)","Fort Lauderdale Executive Airport (FXE)",480,"1 hour 7 minutes",370,3
04.04.2024,"Palm Beach International Airport (PBI) West Palm Beach, Florida","Pierre Regional Airport (PIR) South Dakota",1700,"3 hours 31 minutes",1200,11
04.04.2024,"Pierre Regional Airport (PIR) South Dakota","Lovell Field Airport (CHA) Chattanooga, Tennessee",1000,"2 hours 38 minutes",870,8
04.04.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Palm Beach International Airport (PBI) West Palm Beach, Florida",40,"48 minutes",260,2
05.05.2024,"Nashville International Airport (BNA) Tennessee","Coeur 'alene Airport (COE) Kootenai County, Idaho",1700,"3 hours 9 minutes",1000,10
